User_ID;Age;Age_Range;Country;Streaming Platform;Top Genre;Hours Streamed Per Day_Decimal;Number of Songs Liked;Most Played Artist;Subscription Type;Listening Time (Morning/Afternoon/Night);Discover Weekly Engagement %;Discover Weekly_Categories;Repeat Song Rate %;Repeat Song Rate_Categories
U1000;34;Adults;Japan;Tidal;Reggae;4,9;138;Adele;Free;Afternoon;47,4;Medium;16,74;Low
U1001;24;Young Adults;Germany;Deezer;Country;1,4;388;Ed Sheeran;Premium;Night;12,1;Low;69,25;High
U1002;49;Seniors;Germany;Deezer;Pop;6,1;368;Post Malone;Premium;Afternoon;47,2;Medium;67,38;High
U1003;55;Seniors;Australia;YouTube;Reggae;5,8;349;Dua Lipa;Premium;Morning;31,3;Medium;76,51;Very High
U1004;13;Youth;Germany;Amazon Music;Reggae;0,5;328;Adele;Free;Night;30,7;Medium;43,41;Medium
U1005;25;Adults;South Korea;Spotify;EDM;8,9;243;The Weeknd;Premium;Afternoon;70,3;High;27,79;Medium
U1006;49;Seniors;Australia;Tidal;Country;9,1;70;Billie Eilish;Free;Night;11,9;Low;37,75;Medium
U1007;32;Adults;UK;Amazon Music;Classical;1,6;448;Dua Lipa;Premium;Afternoon;29,5;Medium;1,88;Low
U1008;25;Adults;Germany;Tidal;Metal;8,8;27;BTS;Premium;Morning;8,6;Low;42,38;Medium
U1009;37;Adults;Brazil;Spotify;Reggae;8,6;299;Billie Eilish;Premium;Morning;53,4;High;46,89;Medium
U1010;40;Adults;South Korea;Deezer;Reggae;4,4;462;Taylor Swift;Premium;Morning;87,8;Very High;8,73;Low
U1011;43;Adults;Brazil;Spotify;Rock;5,9;108;Drake;Free;Afternoon;48,2;Medium;2,37;Low
U1012;46;Seniors;Canada;Deezer;Rock;6,5;328;Ed Sheeran;Premium;Afternoon;20,2;Low;43,38;Medium
U1013;57;Seniors;Germany;Tidal;Rock;8,4;432;Drake;Free;Afternoon;41,1;Medium;37,83;Medium
U1014;23;Young Adults;India;Apple Music;Hip-Hop;8,4;215;Dua Lipa;Premium;Morning;68,5;High;4,86;Low
U1015;33;Adults;UK;Spotify;Hip-Hop;3,2;11;Drake;Premium;Morning;39,7;Medium;52,44;High
U1016;19;Young Adults;India;Spotify;Country;9;499;Adele;Free;Morning;21,4;Low;2,06;Low
U1017;16;Youth;USA;Apple Music;R&B;0,2;423;Adele;Premium;Morning;12,5;Low;17,93;Low
U1018;17;Youth;Germany;Apple Music;Rock;6,4;468;Billie Eilish;Premium;Afternoon;25,1;Medium;8,58;Low
U1019;39;Adults;India;Deezer;R&B;2,5;461;Bad Bunny;Premium;Afternoon;48,8;Medium;37,66;Medium
